 37 36 6.00

 23 21 4.58

 11 8 2.83

 23 19 4.36

 30 25 5.00

 32 26 5.10

 17 10 3.16

 12 4 2.00

 31 22 4.69

 3 -7 NULL

 31 20 4.47

 34 22 4.69

 30 17 4.12

 19 5 2.24

 16 1 1.00

 38 22 4.69

 33 16 4.00

 28 10 3.16

 5 -14 NULL

 4 -16 NULL

 37 16 4.00

 35 13 3.61

 17 -6 NULL

 28 4 2.00

 15 -10 NULL

 26 0 0.00

 28 1 1.00

 11 -17 NULL

 23 -6 NULL

 39 9 3.00

 5 -26 NULL

 32 0 0.00

 4 -29 NULL

 22 -12 NULL

 40 5 2.24

 33 -3 NULL

 16 -21 NULL

 39 1 1.00

 32 -7 NULL

 6 -34 NULL

 22 -19 NULL
